level,row,col,hole,free,step,complex,hardess
1,4,4,0,16,1,16,2.7725887222398
2,4,4,0,16,2,120,4.787491742782
3,4,4,0,16,4,1820,7.5065917800708
4,4,4,0,16,2,120,4.787491742782
5,4,4,0,16,4,1820,7.5065917800708
6,4,4,0,16,4,1820,7.5065917800708
7,4,4,0,16,4,1820,7.5065917800708
8,4,4,0,16,6,8008,8.9881963209951
9,4,4,0,16,4,1820,7.5065917800708
10,4,4,0,16,4,1820,7.5065917800708
11,4,4,0,16,4,1820,7.5065917800708
12,4,4,0,16,4,1820,7.5065917800708
13,4,4,0,16,4,1820,7.5065917800708
14,4,4,0,16,6,8008,8.9881963209951
15,4,4,0,16,6,8008,8.9881963209951
16,4,4,0,16,6,8008,8.9881963209951
17,4,4,0,16,6,8008,8.9881963209951
18,4,4,0,16,4,1820,7.5065917800708
19,4,4,0,16,5,4368,8.3820605174247
20,4,4,0,16,4,1820,7.5065917800708
21,4,5,0,20,4,4845,8.4857025243249
22,4,5,0,20,6,38760,10.565144066005
23,4,5,0,20,4,4845,8.4857025243249
24,4,5,0,20,12,125970,11.743799062346
25,4,5,0,20,9,167960,12.031481134798
26,4,5,0,20,6,38760,10.565144066005
27,4,5,0,20,6,38760,10.565144066005
28,4,5,0,20,8,125970,11.743799062346
29,4,5,0,20,8,125970,11.743799062346
30,4,5,0,20,10,184756,12.126791314602
31,4,5,0,20,10,184756,12.126791314602
32,4,5,0,20,6,38760,10.565144066005
33,4,5,0,20,6,38760,10.565144066005
34,4,5,0,20,6,38760,10.565144066005
35,4,5,0,20,8,125970,11.743799062346
36,4,5,0,20,4,4845,8.4857025243249
37,4,5,0,20,10,184756,12.126791314602
38,4,5,0,20,6,38760,10.565144066005
39,4,5,0,20,11,167960,12.031481134798
40,4,5,0,20,5,15504,9.6488533341305
41,5,5,0,25,4,12650,9.4454124941557
42,5,5,0,25,9,2042975,14.529917636818
43,5,5,0,25,9,2042975,14.529917636818
44,5,5,0,25,7,480700,13.082998653882
45,5,5,0,25,11,4457400,15.310076194368
46,5,5,0,25,7,480700,13.082998653882
47,5,5,0,25,6,177100,12.084469823771
48,5,5,0,25,13,5200300,15.464226874195
49,5,5,0,25,6,177100,12.084469823771
50,5,5,0,25,11,4457400,15.310076194368
51,5,5,0,25,14,4457400,15.310076194368
52,5,5,0,25,7,480700,13.082998653882
53,5,5,0,25,10,3268760,14.999921266064
54,5,5,0,25,7,480700,13.082998653882
55,5,5,0,25,5,53130,10.880497019445
56,5,5,0,25,6,177100,12.084469823771
57,5,5,0,25,11,4457400,15.310076194368
58,5,5,0,25,9,2042975,14.529917636818
59,5,5,0,25,7,480700,13.082998653882
60,5,5,0,25,12,5200300,15.464226874195
61,5,5,4,21,5,20349,9.9207870496142
62,5,5,4,21,13,203490,12.223372142608
63,5,5,4,21,8,203490,12.223372142608
64,5,5,4,21,9,293930,12.591096922734
65,5,5,4,21,5,20349,9.9207870496142
66,5,5,4,21,9,293930,12.591096922734
67,5,5,4,21,6,54264,10.901616302626
68,5,5,4,21,8,203490,12.223372142608
69,5,5,4,21,8,203490,12.223372142608
70,5,5,4,21,5,20349,9.9207870496142
71,5,5,4,21,5,20349,9.9207870496142
72,5,5,4,21,11,352716,12.773418479528
73,5,5,4,21,7,116280,11.663756354673
74,5,5,4,21,10,352716,12.773418479528
75,5,5,4,21,6,54264,10.901616302626
76,5,5,4,21,6,54264,10.901616302626
77,5,5,4,21,7,116280,11.663756354673
78,5,5,4,21,8,203490,12.223372142608
79,5,5,4,21,10,352716,12.773418479528
80,5,5,4,21,6,54264,10.901616302626
81,5,5,4,21,8,203490,12.223372142608
82,5,5,4,21,8,203490,12.223372142608
83,5,5,4,21,7,116280,11.663756354673
84,5,5,4,21,6,54264,10.901616302626
85,5,5,4,21,4,5985,8.6970116179921
86,5,5,4,21,6,54264,10.901616302626
87,5,5,4,21,4,5985,8.6970116179921
88,5,5,4,21,6,54264,10.901616302626
89,5,5,4,21,5,20349,9.9207870496142
90,5,5,4,21,8,203490,12.223372142608
91,5,5,1,24,12,2704156,14.810300406789
92,5,5,1,24,8,735471,13.508266389286
93,5,5,1,24,6,134596,11.810032978069
94,5,5,1,24,8,735471,13.508266389286
95,5,5,1,24,6,134596,11.810032978069
96,5,5,1,24,10,1961256,14.489095642298
97,5,5,1,24,9,1307504,14.08363053419
98,5,5,1,24,10,1961256,14.489095642298
99,5,5,1,24,8,735471,13.508266389286
100,5,5,1,24,10,1961256,14.489095642298
